Title,Discreption,price
Address:,පිලියන්දල කහතුඩුව,Land type:,Residential,Land size:,6.0 perches,"Rs 395,000 per perch"
Address:,Piliyandala Kahathuduwa,Land type:,Residential,Land size:,6.0 perches,"Rs 375,000 per perch"
Address:,daampe road kalagedihena,Land type:,"Residential, Other",Land size:,7.0 perches,"Rs 325,000 per perch"
Address:,daampe road homagama,Land type:,"Residential, Other",Land size:,14.0 perches,"Rs 325,000 per perch"
Address:,diyagama moratu campus,Land type:,Residential,Land size:,7.0 perches,"Rs 2,870,000 total price"
Address:,Homagama  Hospital Road,Land type:,Residential,Land size:,13.0 perches,"Rs 925,000 per perch"
Address:,"හෝමාගම , මොරගහහේන",Land type:,"Commercial, Residential, Other",Land size:,20.0 perches,"Rs 6,000,000 total price"
Address:,High Level Road Meepe ( Main Road Facing ),Land type:,"Commercial, Residential",Land size:,19.4 perches,"Rs 15,908,000 total price"
Address:,Homagama kiriwaththuduwa,Land type:,Residential,Land size:,8.3 perches,"Rs 360,000 per perch"
Address:,High Level Road Meepe ,Land type:,"Commercial, Residential",Land size:,19.9 perches,"Rs 975,000 per perch"
Address:,magammana . homagama.,Land type:,Residential,Land size:,6.0 perches,"Rs 2,400,000 total price"
Address:,kahathuduva,Land type:,Residential,Land size:,10.0 perches,"Rs 1,850,000 total price"
Address:,Homagama town near court,Land type:,Residential,Land size:,20.0 perches,"Rs 1,500,000 per perch"
Address:,Pitipana Near to Mahinda Rajapaksha School,Land type:,Residential,Land size:,10.0 perches,"Rs 550,000 per perch"
Address:,Uduwana Junction,Land type:,Residential,Land size:,10.0 perches,"Rs 750,000 per perch"
Address:,Land for Sale in Homagama  Pitipana,Land type:,Residential,Land size:,6.0 perches,"Rs 530,000 per perch"
Address:,"21-A Lionel Jayasinghe Mawatha ,Panagoda ,Homagama",Land type:,Residential,Land size:,10.5 perches,"Rs 5,250,000 total price"
Address:,"50 Meter to Artigala Road, Meegoda",Land type:,"Commercial, Residential, Other",Land size:,27.0 perches,"Rs 9,500,000 total price"
Address:,Homagama-Magammana,Land type:,"Commercial, Other",Land size:,11.0 perches,"Rs 550,000 per perch"
Address:,homagama,Land type:,"Commercial, Residential, Other",Land size:,7.0 perches,"Rs 410,000 per perch"
Address:,homagama,Land type:,"Commercial, Residential, Other",Land size:,6.0 perches,"Rs 425,000 per perch"
Address:,high level road godagama,Land type:,Residential,Land size:,14.0 perches,"Rs 375,000 per perch"
