Title,Discreption,price
Address:,", mandala pedesa ,madiwela ,kotte",Land type:,"Commercial, Residential",Land size:,8.0 perches,"Rs 1,550,000 per perch"
Address:,"Epitamulla, Pitakotte",Land type:,Residential,Land size:,7.0 perches,"Rs 2,500,000 per perch"
Land type:,Residential,Land size:,37.25 perches,"Rs 2,500,000 per perch"
Land type:,Residential,Land size:,17.0 perches,"Rs 60,000,000 per perch"
Land type:,Residential,Land size:,10.6 perches,"Rs 2,400,000 per perch"
Address:,"Rampart Road, Ethulkotte",Land type:,Residential,Land size:,14.0 perches,"Rs 4,000,000 per perch"
Address:,New Jayaweera Road,Land type:,Residential,Land size:,12.0 perches,"Rs 3,000,000 per perch"
Land type:,Commercial,Land size:,48.0 perches,"Rs 2,400,000 per perch"
Address:,Mahindarama Road,Land type:,"Commercial, Residential",Land size:,37.25 perches,"Rs 2,800,000 per perch"
Address:,Facing Mission Lane Ethulkotte,Land type:,"Commercial, Residential, Other",Land size:,15.0 perches,"Rs 2,800,000 per perch"
Address:,Facing Angampitiya Road Ethulkotte,Land type:,"Commercial, Residential",Land size:,48.0 perches,"Rs 2,500,000 per perch"
Address:,Kotte,Land type:,Residential,Land size:,20.0 perches,"Rs 2,250,000 per perch"
Address:,Kotte,Land type:,Residential,Land size:,11.0 perches,"Rs 1,500,000 per perch"
Address:,Kotte,Land type:,Residential,Land size:,18.0 perches,"Rs 2,400,000 per perch"
Address:,Epitamulla Road,Land type:,Residential,Land size:,7.5 perches,"Rs 24,000,000 total price"
Address:,Maddiwela - Kotte,Land type:,Other,Land size:,15.0 perches,"Rs 2,200,000 per perch"
Address:,100 Meters To Pitakotte Junction  Pitakotte,Land type:,"Commercial, Residential",Land size:,8.1 perches,"Rs 4,700,000 per perch"
Address:,"KOTTE ROAD, ETHUL KOTTE",Land type:,"Commercial, Residential",Land size:,38.0 perches,"Rs 79,800,000 total price"
Address:,"මිහින්තලේ පාර, සාලිය මාවත, අනුරාධපුර",Land type:,Residential,Land size:,10.0 perches,"Rs 185,000 per perch"
Address:,"6th Lane, Pagoda Road Kotte",Land type:,"Residential, Other",Land size:,26.0 perches,"Rs 3,000,000 per perch"
Address:,"Koswatta, Nawala",Land type:,Residential,Land size:,7.5 perches,"Rs 2,600,000 per perch"
Address:,Kimbulawala Junction - Thalawathugoda - Kotte road,Land type:,"Commercial, Residential, Other",Land size:,15.0 perches,"Rs 6,800,000 per perch"
Address:,"Quarry Road, Pita Kotte",Land type:,Residential,Land size:,14.0 perches,"Rs 2,800,000 per perch"
Land type:,"Commercial, Residential",Land size:,12.85 perches,"Rs 33,000,000 total price"
Address:,Pita Kotte,Land type:,"Commercial, Residential, Other",Land size:,22.0 perches,"Rs 3,600,000 per perch"
Address:,Off Bangla junction,Land type:,"Residential, Other",Land size:,11.0 perches,"Rs 2,500,000 per perch"
Address:,", mandala pedesa ,madiwela ,kotte",Land type:,"Commercial, Residential",Land size:,8.0 perches,"Rs 1,550,000 per perch"
Land type:,Residential,Land size:,13.65 perches,"Rs 3,700,000 per perch"
Address:,Darmapala Mawatha Madiwela  Kotte,Land type:,"Commercial, Residential",Land size:,27.0 perches,"Rs 2,100,000 per perch"
Address:,Duwa Road,Land type:,Residential,Land size:,20.0 perches,"Rs 2,700,000 per perch"
Address:,"Duwa Rd,Baddagana,Kotte",Land type:,Residential,Land size:,20.0 perches,"Rs 2,400,000 per perch"
Address:,"Ananda Balika Vidyalaya Road, Pita Kotte",Land type:,Residential,Land size:,12.0 perches,"Rs 2,450,000 per perch"
Address:,Facing Angampitiya Road Ethulkotte,Land type:,"Commercial, Residential",Land size:,48.0 perches,"Rs 2,500,000 per perch"
Address:,Facing Beddagana Road,Land type:,"Commercial, Residential",Land size:,20.0 perches,"Rs 3,000,000 per perch"
Address:,"Duwa Road , Beddagana",Land type:,Residential,Land size:,18.0 perches,"Rs 2,400,000 per perch"
Address:,Jayaweera Rd Ethul Kotte,Land type:,"Commercial, Residential, Other",Land size:,17.6 perches,"Rs 2,000,000 per perch"
Address:,Beddagana,Land type:,Residential,Land size:,8.3 perches,"Rs 2,400,000 per perch"
Address:,Weherakanda Road Baddagana Pitakotte,Land type:,"Commercial, Residential",Land size:,20.0 perches,"Rs 2,600,000 per perch"
Address:,Baddagana Pitakotte,Land type:,"Commercial, Residential",Land size:,10.0 perches,"Rs 1,900,000 per perch"
Address:,Kotte pitakotte Baddagana Duwa Rd,Land type:,Residential,Land size:,15.0 perches,"Rs 2,600,000 per perch"
Address:,"Alakeshwara Road, Ethul Kotte",Land type:,"Residential, Other",Land size:,20.0 perches,"Rs 2,500,000 per perch"
Address:,"Suhada Mawatha, Kotte",Land type:,"Residential, Other",Land size:,18.0 perches,"Rs 2,500,000 per perch"
Address:,"756 , Tewatta Road Ragama",Land type:,Residential,Land size:,24.0 perches,"Rs 1,350,000 per perch"
Address:,KOTTE PITAKOTTE Talawathugoda RD,Land type:,Residential,Land size:,11.0 perches,"Rs 2,800,000 per perch"
Address:,"Mission Road, Kotte",Land type:,"Commercial, Residential",Land size:,8.0 perches,"Rs 3,800,000 per perch"
Address:,Kotte pitakotte Thalawathugoda Rd Dharmapala Mawatha,Land type:,Residential,Land size:,11.0 perches,"Rs 2,000,000 per perch"
Address:,"Halbarawa Gardens, Thalahena",Land type:,Residential,Land size:,9.65 perches,"Rs 1,349,000 per perch"
Address:,"Suwapubudugama,  Mukalana, Moragahahena road,  Pitipana South,  Kiriwathuduwa,  Sri Lanka",Land type:,Residential,Land size:,14.25 perches,"Rs 320,000 per perch"
Address:,Kotte,Land type:,Other,Land size:,9.06 perches,"Rs 2,700,000 per perch"
Address:,"Kuruduwatta Road,",Land type:,"Commercial, Residential",Land size:,11.0 perches,"Rs 2,800,000 per perch"
Address:,Facing Pagoda Road,Land type:,"Commercial, Residential",Land size:,11.75 perches,"Rs 5,500,000 per perch"
Address:,"Beddagana, Pita Kotte",Land type:,Residential,Land size:,11.0 perches,"Rs 2,400,000 per perch"
Address:,", mandala pedesa ,madiwela ,kotte",Land type:,"Commercial, Residential",Land size:,8.0 perches,"Rs 1,550,000 per perch"
Address:,Segera Road Kibulawela Kotte,Land type:,"Commercial, Residential, Other",Land size:,17.6 perches,"Rs 2,350,000 per perch"
Address:,Kotte,Land type:,Residential,Land size:,23.5 perches,"Rs 3,500,000 per perch"
Land type:,"Commercial, Residential",Land size:,6.0 perches,"Rs 3,700,000 per perch"
Address:,Facing Segera Road Kibulawela Kotte,Land type:,"Commercial, Residential",Land size:,21.0 perches,"Rs 1,950,000 per perch"
Address:,Rajamaha Vihara Road,Land type:,Residential,Land size:,9.19 perches,"Rs 22,000,000 total price"
Address:,Ananda Balika Mawatha,Land type:,"Commercial, Residential",Land size:,10.0 perches,"Rs 3,500,000 per perch"
Address:,"New Jayaweera Mawatha, Ethul Kotte",Land type:,Residential,Land size:,12.0 perches,"Rs 3,000,000 per perch"
Address:,250 Meter to Sri Jayawardenapura Mawatha,Land type:,"Commercial, Residential",Land size:,16.4 perches,"Rs 4,000,000 per perch"
Address:,"Facing Mission Road, Ethul Kotte",Land type:,"Commercial, Residential",Land size:,16.0 perches,"Rs 4,200,000 per perch"
Land type:,"Commercial, Residential",Land size:,6.0 perches,"Rs 3,700,000 per perch"
Address:,Kotte pitakotte Rajamaha vihara Rd,Land type:,Residential,Land size:,7.5 perches,"Rs 2,100,000 per perch"
Address:,Kotte near Ananda Balika College.,Land type:,Residential,Land size:,11.69 perches,"Rs 30,000,000 total price"
Address:,Facing Main Road Beddagana,Land type:,"Commercial, Residential",Land size:,20.0 perches,"Rs 3,000,000 per perch"
Address:,"Ranpokuna Road, Pita Kotte",Land type:,"Commercial, Residential",Land size:,11.0 perches,"Rs 3,500,000 per perch"
Address:,"rajamaha vehara Rd, pitakotte",Land type:,Residential,Land size:,12.9 perches,"Rs 3,200,000 per perch"
Address:,Epitamulla rd,Land type:,Residential,Land size:,6.12 perches,"Rs 16,800,000 total price"
Address:,200 Meter to Pita Kotte Junction,Land type:,"Commercial, Residential",Land size:,12.0 perches,"Rs 3,300,000 per perch"
Address:,Facing Angampitiya Road Ethulkotte,Land type:,"Commercial, Residential",Land size:,48.0 perches,"Rs 2,500,000 per perch"
Address:,DARMAPALA MAWATHA MADIWELA PITAKOTTE -TALAWATHUGODA ROAD PITAKOTTE,Land type:,"Commercial, Residential",Land size:,27.0 perches,"Rs 2,100,000 per perch"
Land type:,"Commercial, Residential",Land size:,36.0 perches,"Rs 5,000,000 per perch"
Address:,Kotte near Seylan Bank,Land type:,"Commercial, Residential",Land size:,11.9 perches,"Rs 38,080,000 total price"
Address:,Segera Road Kibulawela Kotte,Land type:,"Commercial, Residential, Other",Land size:,17.6 perches,"Rs 2,350,000 per perch"
Address:,300 meters to 153 nawarohala - borella Bus routs Madiwela - Kotte,Land type:,Residential,Land size:,12.8 perches,"Rs 16,650,000 total price"
Address:,"Kuruduwatta Road, Pita Kotte",Land type:,"Commercial, Residential",Land size:,11.7 perches,"Rs 2,800,000 per perch"
Address:,Epitamulla rd Kotte,Land type:,"Residential, Other",Land size:,49.0 perches,"Rs 2,500,000 per perch"
Address:,", mandala pedesa ,madiwela ,kotte",Land type:,"Commercial, Residential",Land size:,8.0 perches,"Rs 1,550,000 per perch"
Address:,Dharmapala Mawatha Madiwela,Land type:,Residential,Land size:,10.25 perches,"Rs 2,300,000 per perch"
Address:,Facing Pita Kotte Junction,Land type:,"Commercial, Residential",Land size:,38.0 perches,"Rs 5,500,000 per perch"
Land type:,Residential,Land size:,37.25 perches,"Rs 2,500,000 per perch"
Address:,"kotte road , pitakotte",Land type:,Residential,Land size:,4.5 perches,"Rs 5,000,000 total price"
Address:,Kotte,Land type:,Residential,Land size:,17.2 perches,"Rs 2,900,000 per perch"
Address:,"Mirihana Road, Pita Kotte",Land type:,"Commercial, Residential",Land size:,7.55 perches,"Rs 3,000,000 per perch"
Address:,100meters to 153 borella - NawarohalaBus routs thalawathugoda rd madiwela kotte,Land type:,Residential,Land size:,6.0 perches,"Rs 9,000,000 total price"
Address:,", mandala pedesa ,madiwela ,kotte",Land type:,"Commercial, Residential",Land size:,8.0 perches,"Rs 1,550,000 per perch"
Address:,"No.39/1/4 Angampitiya Road,Ethul Kotte",Land type:,Residential,Land size:,7.25 perches,"Rs 2,400,000 per perch"
Address:,"Facing Mission Lane, Ethul Kotte",Land type:,"Commercial, Residential",Land size:,26.0 perches,"Rs 2,800,000 per perch"
Address:,Pita Kotte,Land type:,Residential,Land size:,11.3 perches,"Rs 39,550,000 total price"
Address:,Pita Kotte,Land type:,Residential,Land size:,12.4 perches,"Rs 43,400,000 total price"
Address:,Pita Kotte,Land type:,Residential,Land size:,10.0 perches,"Rs 35,000,000 total price"
