Title,Discreption,price
Land type:,Residential,Land size:,15.6 perches,"Rs 3,800,000 per perch"
Address:,Delkanda,Land type:,Residential,Land size:,6.0 perches,"Rs 13,200,000 total price"
Address:,nugagoda mirihana Pitawella road,Land type:,Residential,Land size:,12.5 perches,"Rs 21,250,000 total price"
Address:,Nugegoda,Land type:,"Commercial, Residential, Other",Land size:,12.75 perches,"Rs 47,800,000 total price"
Address:,Kohuwala,Land type:,Residential,Land size:,7.5 perches,"Rs 4,000,000 per perch"
Address:,Devala Road,Land type:,"Commercial, Residential, Other",Land size:,30.0 perches,"Rs 4,200,000 per perch"
Address:,Nugegoda - Pelawatta Road,Land type:,"Commercial, Residential",Land size:,24.5 perches,"Rs 3,800,000 per perch"
Address:,Pepiliyana,Land type:,Commercial,Land size:,29.0 perches,"Rs 6,500,000 per perch"
Land type:,Residential,Land size:,80.0 perches,"Rs 5,500,000 per perch"
Address:,NUGEGODA PELAWATHTHA MAIN RD,Land type:,Residential,Land size:,25.0 perches,"Rs 4,500,000 per perch"
Land type:,Residential,Land size:,25.01 perches,"Rs 4,500,000 per perch"
Address:,"මිහින්තලේ පාර, සාලිය මාවත, අනුරාධපුර",Land type:,Residential,Land size:,10.0 perches,"Rs 190,000 per perch"
Land type:,Commercial,Land size:,12.1 perches,"Rs 3,700,000 per perch"
Address:,Dewala Road,Land type:,Residential,Land size:,15.0 perches,"Rs 36,000,000 total price"
Land type:,"Commercial, Residential",Land size:,12.0 perches,"Rs 25,000,000 per perch"
Address:,Nugegoda,Land type:,Residential,Land size:,6.0 perches,"Rs 2,200,000 per perch"
Address:,Facing 20 Feet Road Wetakeya Road Kubukgahapokuna Road Thalapathpitiya Nugegoda,Land type:,"Commercial, Residential, Other",Land size:,30.0 perches,"Rs 1,425,000 per perch"
Address:,300 Meters To Old Kesbewa Road Jaya Mawatha Udahamulla ,Land type:,"Commercial, Residential, Other",Land size:,22.0 perches,"Rs 2,200,000 per perch"
Address:,Pelawatha Road Nugegoda,Land type:,"Commercial, Residential",Land size:,24.0 perches,"Rs 4,200,000 per perch"
Address:,Facing High Level Road Gamsaba Junction Nugegoda,Land type:,"Commercial, Residential",Land size:,82.0 perches,"Rs 5,500,000 per perch"
Land type:,Residential,Land size:,15.6 perches,"Rs 3,800,000 per perch"
Address:,50 METERS TO PVT ROAD / EKWATHA ROAD JUBBLI POST NUGEGODA,Land type:,"Commercial, Residential",Land size:,26.85 perches,"Rs 2,175,000 per perch"
Address:,Elvin Place,Land type:,"Commercial, Residential, Other",Land size:,35.0 perches,"Rs 5,500,000 per perch"
Address:,Facing High Level Road Gamsaba Junction Nugegoda,Land type:,"Commercial, Residential",Land size:,82.0 perches,"Rs 5,500,000 per perch"
Address:,"Off Nawala  road, Nugegoda",Land type:,"Commercial, Residential",Land size:,60.0 perches,"Rs 4,900,000 per perch"
