Title,Discreption,price,,,,
Land type:,Residential,Land size:,,,20.0 perches,"Rs 1,100,000 per perch"
Land type:,Residential,Land size:,,,10.0 perches,"Rs 1,100,000 per perch"
Address:,"Piliyandala, Madapatha",Land type:,"Agricultural, Commercial, Residential",Land size:,400.0 perches,"Rs 425,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,6.0 perches,"Rs 4,950,000 total price"
Address:,GALANIGAMA,Land type:,Residential,Land size:,10.0 perches,"Rs 340,000 per perch"
Address:,Gonamaditta Rd,Land type:,"Residential, Other",Land size:,8.0 perches,"Rs 775,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 600,000 per perch"
Address:,"MORAGAHA HENA Road , Gonapola Junction",Land type:,Residential,Land size:,10.0 perches,"Rs 185,000 per perch"
Address:,Gelanigama,Land type:,Residential,Land size:,10.0 perches,"Rs 350,000 per perch"
Address:,#kesbewa #Makandana #ambagahajunction #Piliyandala,Land type:,"Commercial, Residential",Land size:,6.7 perches,"Rs 5,350,000 total price"
Land type:,"Commercial, Residential",Land size:,,,6.6 perches,"Rs 899,900 per perch"
Address:,makandana,Land type:,"Commercial, Residential",Land size:,10.0 perches,"Rs 800,000 per perch"
Address:,BANDARGAMA,Land type:,Residential,Land size:,10.0 perches,"Rs 340,000 per perch"
Address:,"ගැලනිගම,වීදාගම",Land type:,Residential,Land size:,10.0 perches,"Rs 340,000 per perch"
Address:,"බණ්ඩාරගම,ගැලනිගම",Land type:,Residential,Land size:,10.0 perches,"Rs 340,000 per perch"
Address:,Madapatha,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,"makandana, amba gaha handiya",Land type:,Residential,Land size:,6.5 perches,"Rs 800,000 per perch"
Address:,පිලියන්දල කැස්බෑව,Land type:,Residential,Land size:,7.0 perches,"Rs 900,000 per perch"
Address:,BANDARGAMA,Land type:,Residential,Land size:,10.0 perches,"Rs 340,000 per perch"
Address:,"Piliyandala, Kesbewa, Welmilla. (Bandaragama rd)",Land type:,Residential,Land size:,10.0 perches,"Rs 210,000 per perch"
Address:,පිළියන්දල,Land type:,"Commercial, Residential",Land size:,8.0 perches,"Rs 800,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Land type:,"Commercial, Residential",Land size:,6.7 perches,"Rs 818,980 per perch",,
Address:,මාකන්දන ගුණවර්ධන මාවතින්,Land type:,"Commercial, Residential",Land size:,6.3 perches,"Rs 785,000 per perch"
Address:,Piliyandala maharagama road,Land type:,Residential,Land size:,10.0 perches,"Rs 9,500,000 total price"
Address:,piliyandala madapath,Land type:,"Commercial, Residential",Land size:,6.7 perches,"Rs 800,000 per perch"
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Address:,මාකන්දන,Land type:,"Commercial, Residential",Land size:,6.4 perches,"Rs 750,000 per perch"
Address:,Piliyandala Makandana,Land type:,"Commercial, Residential",Land size:,8.5 perches,"Rs 6,800,000 total price"
Address:,Madapatha,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,Madapatha,Land type:,Residential,Land size:,7.0 perches,"Rs 847,890 per perch"
Land type:,Residential,Land size:,6.75 perches,"Rs 900,000 per perch",,
Address:,Makuluduwa Road,Land type:,Residential,Land size:,35.0 perches,"Rs 675,000 per perch"
Address:,piliyandala,Land type:,Residential,Land size:,6.7 perches,"Rs 5,200,000 total price"
Address:,පිළියන්දල දේවානන්ද පාර,Land type:,Residential,Land size:,9.6 perches,"Rs 950,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,Polgasowita,Land type:,Residential,Land size:,6.0 perches,"Rs 390,000 per perch"
