Title,Discreption,price
Address:,Ruhunupura Thalawathugoda,Land type:,Residential,Land size:,15.0 perches,"Rs 1,750,000 per perch"
Address:,"Vidyaraja Mawatha, Hokandara",Land type:,Residential,Land size:,8.6 perches,"Rs 1,150,000 per perch"
Address:,Kalalgoda,Land type:,Residential,Land size:,8.1 perches,"Rs 1,644,500 per perch"
Address:,KALALGODA RD WEERA MAWATHA,Land type:,Residential,Land size:,13.0 perches,"Rs 1,575,000 per perch"
Address:,KUMARAGEWATHTHA,Land type:,Residential,Land size:,20.0 perches,"Rs 2,200,000 per perch"
Land type:,Residential,Land size:,41.0 perches,"Rs 3,000,000 per perch"
Address:,Kalalgoda road,Land type:,Residential,Land size:,12.5 perches,"Rs 1,200,000 per perch"
Address:,HOKANDARA RD,Land type:,Residential,Land size:,14.0 perches,"Rs 2,200,000 per perch"
Address:,thalawathugoda kalalgoda road,Land type:,Residential,Land size:,8.1 perches,"Rs 12,150,000 total price"
Address:,104/16 monarch meemanagoda road Thalawathugoda,Land type:,Residential,Land size:,7.2 perches,"Rs 1,525,000 per perch"
Address:,Polwaththa rd Thalawathugoda,Land type:,"Commercial, Residential",Land size:,11.28 perches,"Rs 22,600,000 total price"
Address:,weeramawatha,Land type:,Residential,Land size:,8.5 perches,"Rs 12,800,000 total price"
Address:,Weeramawatha Thalawathugoda,Land type:,Residential,Land size:,13.2 perches,"Rs 17,800,000 total price"
Address:,Talawathugoda Madiwala Rd,Land type:,Residential,Land size:,7.1 perches,"Rs 2,000,000 per perch"
Address:,තලවතුගොඩ කලල්ගොඩ,Land type:,Residential,Land size:,8.1 perches,"Rs 1,550,000 per perch"
Address:,Werasekera Mawatha  ( Near Autrasia  Club ) Thalawathugoda,Land type:,"Commercial, Residential",Land size:,18.5 perches,"Rs 2,100,000 per perch"
Address:,Talawathugoda Hokandara Rd Jothikarama Rd,Land type:,Residential,Land size:,12.5 perches,"Rs 2,100,000 per perch"
Land type:,Residential,Land size:,21.0 perches,"Rs 2,100,000 per perch"
Address:,"Rupasingha Mawatha, Thalawathugoda",Land type:,"Residential, Other",Land size:,20.0 perches,"Rs 2,500,000 per perch"
Address:,thalawathugoda kalalgoda road,Land type:,Residential,Land size:,8.1 perches,"Rs 12,150,000 total price"
Address:,100 Meters By Road Horahena Road Hokandara Thalawathugoda ,Land type:,"Commercial, Residential, Other",Land size:,43.0 perches,"Rs 850,000 per perch"
Address:,"Samagi Mawatha, Thalawathugoda",Land type:,Residential,Land size:,12.5 perches,"Rs 1,350,000 per perch"
Land type:,Residential,Land size:,13.2 perches,"Rs 1,600,000 per perch"
Address:,RAMANAYAKA MAWATHA,Land type:,Residential,Land size:,6.0 perches,"Rs 950,000 per perch"
Land type:,"Commercial, Residential",Land size:,8.3 perches,"Rs 1,000,000 per perch"
Address:,PARLIMENT RD,Land type:,Residential,Land size:,17.0 perches,"Rs 1,700,000 per perch"
Address:,RAJAMALWATHTHA,Land type:,Residential,Land size:,6.0 perches,"Rs 2,750,000 per perch"
Address:,HOKANDARA,Land type:,"Commercial, Residential",Land size:,11.25 perches,"Rs 1,650,000 per perch"
Address:,HOKANDARA LAKE RD,Land type:,Residential,Land size:,10.0 perches,"Rs 1,850,000 per perch"
Address:,FACE TO ATHURUGIRIYA RD,Land type:,Residential,Land size:,9.2 perches,"Rs 1,890,000 per perch"
Land type:,"Commercial, Residential",Land size:,15.4 perches,"Rs 2,600,000 per perch"
Address:,KALALGODA,Land type:,"Commercial, Residential",Land size:,20.0 perches,"Rs 38,000,000 per perch"
Address:,HOKANDARA RD DICK LAND WATHTHA,Land type:,Residential,Land size:,14.2 perches,"Rs 2,300,000 per perch"
Address:,PAMUNUWA RD,Land type:,Residential,Land size:,11.28 perches,"Rs 2,200,000 per perch"
Address:,SALINDA DISANAYAKA MAWATHA,Land type:,"Commercial, Residential",Land size:,22.0 perches,"Rs 24,000,000 per perch"
Address:,Thalawatugoda,Land type:,"Commercial, Residential",Land size:,20.0 perches,"Rs 1,050,000 per perch"
Land type:,Residential,Land size:,8.1 perches,"Rs 1,619,800 per perch"
Address:,kalalgoda,Land type:,Residential,Land size:,8.1 perches,"Rs 1,650,000 per perch"
Address:,Dolalanda Gardens Thalawathugoda,Land type:,"Commercial, Residential, Other",Land size:,8.5 perches,"Rs 1,950,000 per perch"
Address:,thalawathugoda kalalgoda road,Land type:,Residential,Land size:,8.1 perches,"Rs 12,000,000 total price"
