Title,Discreption,price
Address:,Colombo 05,Land type:,Residential,Land size:,4.34 perches,"Rs 4,000,000 per perch"
Address:,Fife Road,Land type:,"Commercial, Residential, Other",Land size:,12.7 perches,"Rs 11,500,000 per perch"
Address:,Thimbirigasyaya Road,Land type:,"Commercial, Residential",Land size:,19.36 perches,"Rs 15,000,000 per perch"
Land type:,Commercial,Land size:,30.0 perches,"Rs 270,000,000 total price"
Address:,Colombo 5,Land type:,Residential,Land size:,16.7 perches,"Rs 70,140,000 total price"
Address:,Colombo 05,Land type:,Residential,Land size:,12.0 perches,"Rs 6,100,000 per perch"
Address:,"Off Kirulapana Av, Colombo 05",Land type:,"Commercial, Residential, Other",Land size:,10.0 perches,"Rs 6,200,000 per perch"
Address:,Colombo 05,Land type:,Residential,Land size:,7.0 perches,"Rs 33,000,000 total price"
Address:,Colombo 05,Land type:,Residential,Land size:,6.0 perches,"Rs 6,800,000 per perch"
Address:,FACING HEEN GANGA 30 FEET ROAD / KIRIMANDALA MAWATHA COLOMBO 05,Land type:,"Commercial, Residential",Land size:,25.0 perches,"Rs 11,500,000 per perch"
Address:,50 Meters To By Road Colabage Mawatha Colombo 05,Land type:,"Commercial, Residential",Land size:,21.0 perches,"Rs 3,500,000 per perch"
Address:,Colambage Mawatha Colombo 05,Land type:,"Commercial, Residential",Land size:,8.0 perches,"Rs 3,500,000 per perch"
Land type:,Residential,Land size:,14.9 perches,"Rs 6,500,000 per perch"
Land type:,"Commercial, Residential, Other",Land size:,15.8 perches,"Rs 160,000,000 total price"
Address:,Colombo 05,Land type:,"Commercial, Residential",Land size:,15.0 perches,"Rs 13,500,000 per perch"
Address:,Lional Edirisingha mawatha,Land type:,Residential,Land size:,8.0 perches,"Rs 4,400,000 per perch"
Address:,"Lionel Edirisinghe Mawatha, Colombo 05.",Land type:,"Commercial, Residential",Land size:,20.58 perches,"Rs 138,000,000 total price"
Address:,Allan Mathiniya road  - Colombo 05,Land type:,Residential,Land size:,31.75 perches,"Rs 5,500,000 per perch"
Address:,Kirulapone,Land type:,"Commercial, Residential",Land size:,15.0 perches,"Rs 5,200,000 per perch"
