Title,Discreption,price
Address:,"Nawala ,Koswatta",Land type:,Residential,Land size:,5.34 perches,"Rs 5,000,000 per perch"
Address:,20 Feet Kandewatha Lane Nawala,Land type:,"Commercial, Residential, Other",Land size:,23.14 perches,"Rs 3,500,000 per perch"
Address:,De Mel Watha Road Koswatha,Land type:,"Commercial, Residential, Other",Land size:,10.0 perches,"Rs 3,950,000 per perch"
Address:,2nd Lane Koswatha Road Koswatha Nawala,Land type:,"Commercial, Residential, Other",Land size:,7.5 perches,"Rs 3,900,000 per perch"
Address:,"D. M. Colombage Mawatha, Nawala",Land type:,"Commercial, Residential, Other",Land size:,21.0 perches,"Rs 4,200,000 per perch"
Address:,2nd Lane Galpotha Road Nawala,Land type:,"Commercial, Residential, Other",Land size:,20.0 perches,"Rs 3,700,000 per perch"
Address:,Nawala Koswatta Galpotta Rd 2nd lane,Land type:,Residential,Land size:,20.0 perches,"Rs 3,700,000 per perch"
Address:,Nawala,Land type:,Residential,Land size:,17.8 perches,"Rs 5,000,000 per perch"
Address:,"මිහින්තලේ පාර, සාලිය මාවත, අනුරාධපුර",Land type:,Residential,Land size:,10.0 perches,"Rs 180,000 per perch"
Address:,Nawala Koswatta 2nd lane,Land type:,Residential,Land size:,7.4 perches,"Rs 3,900,000 per perch"
Land type:,Residential,Land size:,19.75 perches,"Rs 59,250,000 total price"
Address:,Nawala,Land type:,Commercial,Land size:,17.32 perches,"Rs 103,920,000 total price"
Land type:,Residential,Land size:,25.0 perches,"Rs 4,700,000 per perch"
Address:,"Battaramulla, Koswatte",Land type:,"Commercial, Residential, Other",Land size:,40.0 perches,"Rs 5,500,000 per perch"
Address:,Nawala,Land type:,Other,Land size:,11.0 perches,"Rs 3,300,000 per perch"
Address:,6th lane - Nawala,Land type:,Residential,Land size:,11.0 perches,"Rs 3,500,000 per perch"
Address:,Nawala koswatta,Land type:,Residential,Land size:,7.4 perches,"Rs 3,650,000 per perch"
Address:,Koswatte,Land type:,Residential,Land size:,7.65 perches,"Rs 19,125,000 total price"
Address:,Welikada Terece Koswatha Nawala,Land type:,"Commercial, Residential",Land size:,40.0 perches,"Rs 3,200,000 per perch"
Address:,12 Feet By Road Old Nawala Road Nawala,Land type:,"Commercial, Residential, Other",Land size:,15.0 perches,"Rs 3,200,000 per perch"
Address:,"Galpoththa road ,Nawala Koswaththa",Land type:,Residential,Land size:,10.0 perches,"Rs 38,000,000 total price"
Address:,3rd Block Rajagiriya Road,Land type:,"Commercial, Residential",Land size:,11.0 perches,"Rs 4,550,000 per perch"
Address:,Nawala,Land type:,Residential,Land size:,20.0 perches,"Rs 3,500,000 per perch"
Land type:,Residential,Land size:,19.0 perches,"Rs 3,600,000 per perch"
Address:,"Koswatta, Nawala",Land type:,Residential,Land size:,6.5 perches,"Rs 3,600,000 per perch"
Address:,Nawala - Koswatta,Land type:,Residential,Land size:,20.0 perches,"Rs 4,200,000 per perch"
Land type:,"Commercial, Residential",Land size:,15.5 perches,"Rs 4,700,000 per perch"
Address:,"Nawala, Koswatta Junction",Land type:,"Commercial, Other",Land size:,17.0 perches,"Rs 8,000,000 per perch"
Address:,nawala koswatha 2 n lane,Land type:,"Commercial, Residential, Other",Land size:,7.4 perches,"Rs 4,000,000 per perch"
Address:,"Senanayake Mawatha, Nawala",Land type:,"Residential, Other",Land size:,23.0 perches,"Rs 4,500,000 per perch"
Address:,50 Meter to Nawala - Rajagiriya Road,Land type:,"Commercial, Residential",Land size:,11.0 perches,"Rs 4,550,000 per perch"
Address:,"Nawala, Koswatta",Land type:,Residential,Land size:,11.2 perches,"Rs 3,300,000 per perch"
Address:,"Facing Swarnadisi Places, Nawala",Land type:,"Commercial, Residential, Other",Land size:,34.0 perches,"Rs 4,200,000 per perch"
