Title,Discreption,price
Address:,Piliyandala,Land type:,"Agricultural, Commercial, Residential",Land size:,400.0 perches,"Rs 425,000 per perch"
Address:,"Nawala, Nugegoda",Land type:,"Commercial, Residential",Land size:,13.0 perches,"Rs 3,750,000 per perch"
Address:,"Nugegoda, Nawala",Land type:,"Commercial, Residential",Land size:,13.0 perches,"Rs 3,750,000 per perch"
Address:,50 Meter to Sri Jayawardenapura Mawatha,Land type:,"Commercial, Residential",Land size:,19.4 perches,"Rs 3,200,000 per perch"
Address:,Kalapaluwawa - Rajagiriya,Land type:,"Commercial, Residential",Land size:,41.0 perches,"Rs 2,000,000 per perch"
Address:,HALGAHADENIYA  ROAD KALAPALUWAWA IDH JUNCTION .,Land type:,"Commercial, Residential, Other",Land size:,9.0 perches,"Rs 1,900,000 per perch"
Address:,"kamatha watta road madawelikada,rajagiriya",Land type:,"Agricultural, Commercial, Residential, Other",Land size:,21.7 perches,"Rs 3,500,000 per perch"
Address:,Diyawanna residencies ,Land type:,"Residential, Other",Land size:,8.0 perches,"Rs 7,500,000 per perch"
Address:,"Gammanpila, Bandaragama",Land type:,Residential,Land size:,43.88 perches,"Rs 300,000 per perch"
Address:,kalagedihena kandy road,Land type:,"Residential, Other",Land size:,13.0 perches,"Rs 475,000 per perch"
Address:,500 Meter to New Gothatuwa Town,Land type:,Residential,Land size:,6.0 perches,"Rs 1,650,000 per perch"
Address:,Facing Gajaba Road ( New Kollonnawa Road) Rajagiriya,Land type:,"Commercial, Residential",Land size:,9.8 perches,"Rs 2,100,000 per perch"
Address:,Gamunu Mawatha Buthgamuwa Road Rajagiriya,Land type:,"Commercial, Residential",Land size:,21.0 perches,"Rs 3,500,000 per perch"
Land type:,Commercial,Land size:,12.5 perches,"Rs 8,500,000 per perch"
Address:,KAMATHAWATHA ROAD / MEDAWELIKADA ROAD RAJAGIRIYA,Land type:,"Commercial, Residential, Other",Land size:,51.0 perches,"Rs 2,850,000 per perch"
Land type:,Commercial,Land size:,18.55 perches,"Rs 6,500,000 per perch"
Address:,Walawatha Road Rajagiriya Road Rajagiriya,Land type:,"Commercial, Residential",Land size:,14.0 perches,"Rs 2,650,000 per perch"
Address:,Mount Lavinia,Land type:,Residential,Land size:,10.75 perches,"Rs 1,850,000 per perch"
Address:,"Rajagiriya, Baddagana, Duwa rd",Land type:,Residential,Land size:,20.0 perches,"Rs 2,400,000 per perch"
Address:,Cotta Road,Land type:,Residential,Land size:,18.55 perches,"Rs 102,025,000 total price"
Land type:,Residential,Land size:,6.2 perches,"Rs 1,700,000 per perch"
Address:,150 Meters To Cotta Road Rajagiriya,Land type:,"Commercial, Residential",Land size:,12.1 perches,"Rs 5,000,000 per perch"
Land type:,Commercial,Land size:,19.0 perches,"Rs 10,000,000 per perch"
Address:,Ethul Kotte,Land type:,Residential,Land size:,16.4 perches,"Rs 4,000,000 per perch"
Address:,Deakin Gardens,Land type:,Residential,Land size:,10.65 perches,"Rs 24,000,000 total price"
Address:,"මිහින්තලේ පාර, සාලිය මාවත, අනුරාධපුර",Land type:,Residential,Land size:,10.0 perches,"Rs 175,000 per perch"
Address:,"Rajamalwatte, Battaramulla",Land type:,Residential,Land size:,10.0 perches,"Rs 3,000,000 per perch"
Address:,"Rajamalwatte, Battaramulla ",Land type:,Residential,Land size:,9.0 perches,"Rs 3,000,000 per perch"
Address:,"Rajamalwatte,Battaramulla ",Land type:,Residential,Land size:,8.0 perches,"Rs 3,000,000 per perch"
Address:,S.W Perera Mawatha,Land type:,"Commercial, Residential",Land size:,20.5 perches,"Rs 3,500,000 per perch"
Address:,"100 Meter to Sri Jayawardenapura Mawatha,",Land type:,"Commercial, Residential",Land size:,19.4 perches,"Rs 3,200,000 per perch"
Land type:,"Commercial, Residential",Land size:,6.53 perches,"Rs 21,600,000 total price"
Address:,"Buthgamuwa Road, Rajagiriya",Land type:,"Commercial, Residential, Other",Land size:,43.0 perches,"Rs 6,000,000 per perch"
Address:,Nawala Temple Road,Land type:,"Commercial, Residential",Land size:,15.5 perches,"Rs 5,200,000 per perch"
Address:,Hokandara Near Siripura,Land type:,Commercial,Land size:,27.0 perches,"Rs 1,900,000 per perch"
Address:,"Moragasmulla,rajagiriya",Land type:,"Agricultural, Commercial, Residential, Other",Land size:,8.5 perches,"Rs 2,150,000 per perch"
Address:,Nuwara Eliya,Land type:,Residential,Land size:,40.0 perches,"Rs 250,000 per perch"
Address:,"Buthgamuwa Road, Rajagiriya",Land type:,Residential,Land size:,25.0 perches,"Rs 2,200,000 per perch"
